,seed,primary_length,Jv,k0,surface,length,axfold,radfold,delta,nude_length,integral_diff,0.01,0.02,0.03,0.045,0.06,0.08
201,35615948,0.07,0.007702534356380001,327.6558,0.00016930413518099997,0.5479,1.0,1.0,0.002,0.03,-0.00317878602862,9,11,13,9,3,0
202,75024537,0.07,0.00604707028592,327.6558,0.00015964606255,0.4952,1.0,1.0,0.002,0.035,-0.00166720561162,4,9,11,11,2,1
252,42360325,0.08,0.010711698884999999,327.6558,0.00033060986971400003,1.2271,1.0,1.0,0.002,0.005,-0.00108700501131,8,20,22,19,10,7
253,83745811,0.08,0.006337104768279999,327.6558,0.000201586701467,0.6758,1.0,1.0,0.002,0.01,-0.00273460157479,5,10,12,9,7,2
254,63415008,0.08,0.0080045234541,327.6558,0.000230514737948,0.8045,1.0,1.0,0.002,0.015,-0.00410201924382,6,13,15,15,7,3
255,26602451,0.08,0.006391789695670001,327.6558,0.000205718398461,0.6948,1.0,1.0,0.002,0.02,-0.00338403624685,5,10,15,13,5,2
256,31843049,0.08,0.00900022680904,327.6558,0.000207460977074,0.7142,1.0,1.0,0.002,0.025,-0.00498474818305,11,16,12,12,8,2
257,12056243,0.08,0.0068592583080500005,327.6558,0.00015385975153699998,0.4756,1.0,1.0,0.002,0.03,-0.00457636009163,7,8,11,8,5,1
258,4313698,0.08,0.010348808277700001,327.6558,0.000286890234843,1.0355,1.0,1.0,0.002,0.035,-0.00244783232625,7,19,17,17,14,7
308,41718271,0.09,0.00984074390145,327.6558,0.000231933079067,0.7989,1.0,1.0,0.002,0.005,-0.00496331974163,7,14,14,13,8,2
309,58572594,0.09,0.00597575074438,327.6558,0.000166058681475,0.5345,1.0,1.0,0.002,0.01,-0.0068029031093,4,7,12,11,3,2
310,51367753,0.09,0.010751407885399999,327.6558,0.00035636735434099997,1.3333,1.0,1.0,0.002,0.015,-0.000983010633755,7,19,17,20,18,7
311,65029383,0.09,0.0094816789231,327.6558,0.00023487514288799997,0.7933,1.0,1.0,0.002,0.02,-0.00368811460768,8,15,15,12,12,2
312,81629849,0.09,0.00799842497062,327.6558,0.00021277887662200003,0.7107,1.0,1.0,0.002,0.025,-0.00393700594488,7,13,16,12,6,3
313,68389850,0.09,0.012933111047200001,327.6558,0.000427279220355,1.6055,1.0,1.0,0.002,0.03,-0.000291919248551,8,21,36,20,14,12
314,81590619,0.09,0.008015557621149999,327.6558,0.000198388748641,0.6228,1.0,1.0,0.002,0.035,-0.0038086113316100003,5,13,14,10,8,1
364,37452073,0.04,0.0049176673018900005,327.6558,7.57383953387e-05,0.2327,1.0,1.0,0.002,0.005,-0.00374516706633,5,8,5,2,1,0
365,14002019,0.04,0.00391192478502,327.6558,6.40237104927e-05,0.1909,1.0,1.0,0.002,0.01,-0.00412137018571,4,5,4,2,0,0
366,56764634,0.04,0.00839719907346,327.6558,0.00018217731373400002,0.6599,1.0,1.0,0.002,0.015,0.00219891149757,8,13,11,8,4,1
367,63586153,0.04,0.0046601598908,327.6558,6.93684392424e-05,0.2127,1.0,1.0,0.002,0.02,-0.00514851291538,7,6,4,2,0,0
368,36418246,0.04,0.00840974570204,327.6558,0.000176931721082,0.6922,1.0,1.0,0.002,0.025,-0.00465240902036,8,13,12,9,7,5
369,53569030,0.04,0.00813386270311,327.6558,0.000157947466234,0.568,1.0,1.0,0.002,0.03,0.00035453606270099996,8,13,10,6,3,1
370,57650891,0.04,0.00705837254556,327.6558,0.000142784569292,0.4784,1.0,1.0,0.002,0.035,0.00413784663951,8,15,12,4,2,1
420,36261427,0.05,0.00606740745123,327.6558,0.000136616491939,0.4578,1.0,1.0,0.002,0.005,-0.0011062860695599998,5,9,11,6,3,1
421,77004396,0.05,0.00499676424479,327.6558,7.78891296693e-05,0.2393,1.0,1.0,0.002,0.01,-0.007096163516619999,5,5,5,2,1,0
422,16998822,0.05,0.00533965320518,327.6558,9.89694048705e-05,0.3003,1.0,1.0,0.002,0.015,-0.00263973416124,5,7,9,4,0,0
423,41919781,0.05,0.00553902854855,327.6558,0.00010822415983700001,0.3534,1.0,1.0,0.002,0.02,-0.00329685744931,7,8,8,4,2,0
424,85700645,0.05,0.00792789150733,327.6558,0.00017774873623400001,0.6097,1.0,1.0,0.002,0.025,0.0023914648911,9,15,19,5,2,2
425,92957023,0.05,0.00598139658387,327.6558,0.000120105097766,0.3967,1.0,1.0,0.002,0.03,-0.0021959329576500004,5,9,10,5,2,1
426,88413665,0.05,0.00750698351504,327.6558,0.00015709948754499999,0.5246,1.0,1.0,0.002,0.035,0.0006814607099349999,7,15,13,4,3,0
476,2483796,0.06,0.010012900255700001,327.6558,0.000233427113719,0.8622,1.0,1.0,0.002,0.005,-0.0019746201282500003,9,15,19,14,6,2
477,98285435,0.06,0.007061599373840001,327.6558,0.00015572811952000001,0.5266,1.0,1.0,0.002,0.01,-0.0036990052589,5,13,11,8,3,1
478,69185361,0.06,0.0100989038097,327.6558,0.000246551563135,0.8864,1.0,1.0,0.002,0.015,0.0005678998439709999,9,19,15,15,6,2
479,87889130,0.06,0.007586128241579999,327.6558,0.000179222143189,0.6048,1.0,1.0,0.002,0.02,-0.0005488342729330001,7,15,13,11,4,1
