index,length,axfold,radfold,surface,volume,Jv,i0,i1
0,0.08,1.0,50,0.00016027400408966162,6.355167363014634e-09,0.0023841083279930275,2,0
1,0.08,1.0,100,0.00016027400408966162,6.355167363014634e-09,0.004729078433495584,2,0
2,0.08,1.0,150,0.00016027400408966162,6.355167363014634e-09,0.007036162755655748,2,0
3,0.08,1.0,200,0.00016027400408966162,6.355167363014634e-09,0.0093065560437817,2,0
4,0.08,1.0,250,0.00016027400408966162,6.355167363014634e-09,0.011541398743375826,2,0
5,0.08,1.0,300,0.00016027400408966162,6.355167363014634e-09,0.013741780143933267,2,0
6,0.08,1.0,350,0.00016027400408966162,6.355167363014634e-09,0.015908741307901996,2,0
7,0.08,1.0,400,0.00016027400408966162,6.355167363014634e-09,0.018043277798423147,2,0
8,0.08,1.0,450,0.00016027400408966162,6.355167363014634e-09,0.020146342221855337,2,0
9,0.08,1.0,500,0.00016027400408966162,6.355167363014634e-09,0.022218846599657057,2,0
10,0.08,1.0,550,0.00016027400408966162,6.355167363014634e-09,0.024261664582892258,2,0
11,0.08,1.0,600,0.00016027400408966162,6.355167363014634e-09,0.02627563352146626,2,0
12,0.08,1.0,650,0.00016027400408966162,6.355167363014634e-09,0.02826155639914022,2,0
13,0.08,1.0,700,0.00016027400408966162,6.355167363014634e-09,0.03022020364441911,2,0
14,0.08,1.0,750,0.00016027400408966162,6.355167363014634e-09,0.032152314826553216,2,0
15,0.08,1.0,800,0.00016027400408966162,6.355167363014634e-09,0.03405860024510699,2,0
16,0.08,1.0,850,0.00016027400408966162,6.355167363014634e-09,0.03593974242085205,2,0
17,0.08,1.0,900,0.00016027400408966162,6.355167363014634e-09,0.03779639749509738,2,0
18,0.08,1.0,950,0.00016027400408966162,6.355167363014634e-09,0.03962919654397781,2,0
19,0.08,1.0,1000,0.00016027400408966162,6.355167363014634e-09,0.04143874681372048,2,0
20,0.08,1.0,1050,0.00016027400408966162,6.355167363014634e-09,0.043225632882398314,2,0
21,0.08,1.0,1100,0.00016027400408966162,6.355167363014634e-09,0.04499041775326059,2,0
