length,axfold,radfold,surface,volume,Jv,i0,i1
0.08,1.0,50,0.00011769034398878878,4.873144276469135e-09,0.0017530242104859058,0,0
0.08,1.0,100,0.00011769034398878878,4.873144276469135e-09,0.0034818674848813326,0,0
0.08,1.0,150,0.00011769034398878878,4.873144276469135e-09,0.005187228233494469,0,0
0.08,1.0,200,0.00011769034398878878,4.873144276469135e-09,0.00686977548642907,0,0
0.08,1.0,250,0.00011769034398878878,4.873144276469135e-09,0.008530150467692324,0,0
0.08,1.0,300,0.00011769034398878878,4.873144276469135e-09,0.010168968068298133,0,0
0.08,1.0,350,0.00011769034398878878,4.873144276469135e-09,0.011786818225864913,0,0
0.08,1.0,400,0.00011769034398878878,4.873144276469135e-09,0.013384267217582234,0,0
0.08,1.0,450,0.00011769034398878878,4.873144276469135e-09,0.014961858872840395,0,0
0.08,1.0,500,0.00011769034398878878,4.873144276469135e-09,0.01652011571130903,0,0
0.08,1.0,550,0.00011769034398878878,4.873144276469135e-09,0.018059540011769657,0,0
0.08,1.0,600,0.00011769034398878878,4.873144276469135e-09,0.019580614816585965,0,0
0.08,1.0,650,0.00011769034398878878,4.873144276469135e-09,0.02108380487630366,0,0
0.08,1.0,700,0.00011769034398878878,4.873144276469135e-09,0.022569557538515472,0,0
0.08,1.0,750,0.00011769034398878878,4.873144276469135e-09,0.024038303584805302,0,0
0.08,1.0,800,0.00011769034398878878,4.873144276469135e-09,0.02549045801928543,0,0
0.08,1.0,850,0.00011769034398878878,4.873144276469135e-09,0.02692642081197958,0,0
0.08,1.0,900,0.00011769034398878878,4.873144276469135e-09,0.028346577600048502,0,0
0.08,1.0,950,0.00011769034398878878,4.873144276469135e-09,0.02975130034962976,0,0
0.08,1.0,1000,0.00011769034398878878,4.873144276469135e-09,0.031140947980866664,0,0
0.08,1.0,1050,0.00011769034398878878,4.873144276469135e-09,0.03251586695849748,0,0
0.08,1.0,1100,0.00011769034398878878,4.873144276469135e-09,0.03387639185020979,0,0
0.08,1.0,1150,0.00011769034398878878,4.873144276469135e-09,0.035222845854804834,0,0
0.08,1.0,1200,0.00011769034398878878,4.873144276469135e-09,0.036555541302068076,0,0
0.08,1.0,1250,0.00011769034398878878,4.873144276469135e-09,0.03787478012610654,0,0
0.08,1.0,1300,0.00011769034398878878,4.873144276469135e-09,0.03918085431378982,0,0
0.08,1.0,1350,0.00011769034398878878,4.873144276469135e-09,0.04047404632981872,0,0
0.08,1.0,1400,0.00011769034398878878,4.873144276469135e-09,0.04175462951983579,0,0
0.08,1.0,1450,0.00011769034398878878,4.873144276469135e-09,0.04302286849290015,0,0
0.085,1.0,50,0.000128484856346523,5.298076098793725e-09,0.0019124269345778394,0,0
0.085,1.0,100,0.000128484856346523,5.298076098793725e-09,0.0037957850041068007,0,0
0.085,1.0,150,0.000128484856346523,5.298076098793725e-09,0.00565097688699507,0,0
